snr,flood,layered
-3.888888889,0.105744506,0.105744527
-2.777777778,0.08272323,0.08271393
-1.666666667,0.055381091,0.054347716
-0.555555556,0.019409095,0.012944815
0.555555556,0.001302593,0.000380823
1.666666667,1.29E-05,2.80E-06
2.777777778,2.06E-08,0
3.888888889,0,0
5,0,0
